Date,New Cases,Active Cases,Total Cases,New Recoveries,Total Recovered,New Deaths,Total Deaths,Daily Recovery Rate (%),Daily Death Rate (%),Weekly Average Daily Recovery Rate (%),Weekly Average Daily Death Rate(%),Recovery Rate so Far(%),Death Rate so Far (%),No Outcome (%),Daily Infection Rate
2020-08-20,679,66037,458453,1124,359479,3,32937,1.6906069038128901,0.004512296006618034,2.163000051933631,0.010288182868810296,78.41130933814371,7.184378769470371,14.404311892385914,1.0212829961645484
2020-08-21,817,65456,459270,1398,360877,0,32937,2.1169950179444856,0.0,2.1616208480758887,0.008692347997823572,78.5762187819801,7.171598406166307,14.252182811853594,1.2371852143495312
2020-08-22,701,65071,459971,1073,361950,13,32950,1.6392691273527256,0.01986066976289416,2.1584457143448956,0.010320640333485865,78.68974348382832,7.163495089907842,14.14676142626383,1.0709484233683695
2020-08-23,663,64187,460634,1530,363480,17,32967,2.3512778349802526,0.02612530927755836,2.1085652492055735,0.012229300225883189,78.90863462097892,7.156875089550489,13.934490289470599,1.018887061824776
2020-08-24,531,63264,461165,1449,364929,5,32972,2.2574664651720755,0.007789739355321171,2.040979368681701,0.011279290467820223,79.13198096126115,7.149718647338805,13.71830039140004,0.8272703195351083
2020-08-25,627,62813,461792,1070,365999,8,32980,1.6913252402630248,0.012645422357106728,1.9428821661894717,0.010560016595618657,79.25624523595039,7.141743468921073,13.602011295128543,0.9910849772382397
2020-08-26,676,62514,462468,968,366967,7,32987,1.5410822600417111,0.011144189896995844,1.8982889785095953,0.01172537523664204,79.34970635806152,7.132817838207184,13.517475803731285,1.0762103386241701
2020-08-27,901,62393,463369,1015,367982,7,32994,1.6236363054675753,0.011197491761845346,1.8887217501745501,0.012680403201674514,79.41446233994937,7.120459072574989,13.46507858747564,1.4412771539175224
2020-08-28,720,62366,464089,736,368718,11,33005,1.1796195085987211,0.01763018287307871,1.7548109631251552,0.015199000754971473,79.44984690436533,7.1117824382823125,13.438370657352362,1.1539756062378792
2020-08-29,680,62236,464769,803,369521,7,33012,1.2875605297758395,0.011224064394060866,1.7045668777570284,0.013965199987995289,79.50637843746033,7.1028833678666174,13.390738194673053,1.0903376839944843
2020-08-30,780,62210,465549,797,370318,9,33021,1.2806092936564046,0.014461083617199048,1.551614228996479,0.012298882036515388,79.54436589918569,7.092916105501247,13.36271799531306,1.2532939134905843
2020-08-31,743,61923,466292,1021,371339,9,33030,1.6412152387076033,0.01446712747146761,1.4635783395015542,0.013252794624536308,79.63657965395075,7.083544216928448,13.279876129120808,1.1943417457000483
2020-09-01,1331,62227,467623,1018,372357,9,33039,1.643977197487202,0.014534179545564654,1.4568143333907224,0.013522617080030299,79.6276059988495,7.0653068818257445,13.307087119324756,2.1494436639051724
2020-09-02,782,62210,468405,786,373143,13,33052,1.2631172963504589,0.020891252993073747,1.4171050528634004,0.014915054665184283,79.66247157908221,7.056286760388979,13.281241660528815,1.2566892185064362
2020-09-03,985,62379,469390,809,373952,7,33059,1.300434013824144,0.011252210255585919,1.370933296914339,0.01492287159286151,79.66765376339505,7.042970664053346,13.28937557255161,1.5833467288217329
2020-09-04,1246,62826,470636,793,374745,6,33065,1.2712611616088747,0.009618621651517337,1.3840249616300755,0.01377836284692417,79.62523053910029,7.025599401660731,13.349170059238988,1.9974670962984338
2020-09-05,807,62913,471443,712,375457,8,33073,1.1332887657975996,0.012733581638175277,1.3619861382046126,0.013994008167511942,79.63995647405943,7.0152701387018155,13.344773387238755,1.2845000477509312
2020-09-06,742,62878,472185,778,376235,-1,33072,1.2366283597984518,-0.0015894966064247452,1.3557031476534764,0.011701068135565687,79.67957474295032,7.004034435655516,13.316390821394156,1.179406481967161
2020-09-07,558,62217,472743,1200,377435,19,33091,1.908457648144025,0.03021724609561373,1.3938806347158224,0.013951085081872275,79.8393630365759,6.999786353261709,13.160850610162393,0.8874328063869716
2020-09-08,1012,62469,473755,751,378186,9,33100,1.2070655930051273,0.014465499783017503,1.3314646912183832,0.013941273687222682,79.82733691464998,6.986733649249085,13.185929436100938,1.6265650867126349
2020-09-09,629,62283,474384,811,378997,4,33104,1.2982439289887784,0.006403175975283741,1.336482781595286,0.011871548398966964,79.89244999831361,6.97831292792337,13.129237073763028,1.0068994221133682
2020-09-10,827,62422,475211,683,379680,5,33109,1.0966074209655925,0.008027872774272273,1.307364696901207,0.011410928758779302,79.89714042814666,6.967220876621122,13.135638695232224,1.327810156864634
2020-09-11,986,62763,476197,645,380325,0,33109,1.0332895453526,0.0,1.2733687517217391,0.010036839951419683,79.86715581996526,6.95279474671197,13.180049433322763,1.5795713049886257
2020-09-12,869,62938,477066,687,381012,7,33116,1.0945939486640217,0.011153067890317545,1.2678409207026569,0.009811052273154292,79.86567896265926,6.941597179425908,13.192723857914837,1.384573713812278
2020-09-13,716,62767,477782,887,381899,0,33116,1.4093234611840224,0.0,1.292511649472024,0.010038123216929257,79.93164246455497,6.931194561536433,13.137162973908604,1.1376275064349042
2020-09-14,773,62612,478555,916,382815,12,33128,1.4593655901986713,0.0191183265091529,1.2283556411941163,0.00845256327600628,79.99394009048072,6.922506294992216,13.083553614527066,1.2315388659645992
2020-09-15,805,62604,479360,800,383615,13,33141,1.277710343065227,0.02076279307480994,1.238447748345559,0.0093521766034052,80.02649365821095,6.913593124165554,13.059913217623498,1.2856960327093847
2020-09-16,723,62585,480083,727,384342,15,33156,1.1612676506293527,0.023960130343109065,1.2188797085799268,0.01186031294166596,80.05740674008453,6.906305784624742,13.036287475290731,1.154878282537857
2020-09-17,992,63046,481075,524,384866,7,33163,0.837261324598546,0.011184788687385157,1.1818302662417772,0.012311300929253517,80.00124720677648,6.893519721457153,13.105233071766357,1.5850443396980107
2020-09-18,889,63455,481964,475,385341,5,33168,0.7534181391365035,0.007930717254068458,1.1418486367823348,0.013444260536977583,79.95223709654663,6.881841797312663,13.165921106140708,1.4100815277733718
2020-09-19,1033,63740,482997,746,386087,2,33170,1.175636277677094,0.003151839886533764,1.1534261123556309,0.01230122796500847,79.93569318235932,6.867537479528858,13.196769338111832,1.627925301394689
2020-09-20,883,63598,483880,1018,387105,7,33177,1.5971132726702228,0.010982114841543772,1.180253228282231,0.013870101513800437,80.00020666280896,6.856452012895759,13.14334132429528,1.3853153435833072
2020-09-21,732,63210,484612,1116,388221,4,33181,1.7547721626466242,0.006289505959306897,1.222454167203367,0.012037412863822436,80.10965473409655,6.846920835637582,13.043424430265862,1.1509795905531621
2020-09-22,782,63144,485394,846,389067,2,33183,1.3383958234456574,0.0031640563202024997,1.2311235215434286,0.009523307613164231,80.15488448559314,6.836302055649637,13.008813458757215,1.2371460211991774
2020-09-23,718,63240,486112,617,389684,5,33188,0.9771316356265045,0.007918408716584314,1.2048183765430218,0.007231633095089266,80.16341912974788,6.8272332302020935,13.009347640050029,1.1370834917015076
2020-09-24,1043,63713,487155,565,390249,5,33193,0.8934218848829855,0.007906388361796331,1.212841313726513,0.0067632901914337195,80.10776857468362,6.813642475187569,13.07858895012881,1.6492726122707146
2020-09-25,984,64058,488139,630,390879,9,33202,0.9888091912168632,0.01412584558881233,1.2464686068808501,0.007648308524968557,80.07534739080467,6.801751140556276,13.122901468639055,1.5444257843768148
2020-09-26,1007,64333,489146,728,391607,4,33206,1.1364700739954416,0.00624434106590902,1.2408734349263284,0.008090094407736451,80.05932788983249,6.788566194960196,13.15210591520732,1.5720128633425958
2020-09-27,894,64418,490040,800,392407,9,33215,1.2435297592215504,0.01398970979124244,1.190361504433661,0.008519750829121977,80.07652436535793,6.778018120969716,13.145457513672353,1.3896445059300826
2020-09-28,996,64470,491036,930,393337,14,33229,1.4436958614051973,0.021733055978142755,1.1459220328277429,0.010725972260384242,80.1034954667275,6.767120944289217,13.129383588983293,1.5461516967307274
2020-09-29,1198,64883,492234,781,394118,4,33233,1.2114161625562276,0.006204436171862882,1.12778208127211,0.011160312239192867,80.06720380957024,6.751463734727792,13.181332455701963,1.8582286334729332
2020-09-30,1098,65156,493332,812,394930,13,33246,1.2514834394217282,0.02003606491685033,1.166975196099999,0.012891405982088013,80.05359473944524,6.739072267762886,13.207332992791873,1.6922768675924356
2020-10-01,1453,65935,494785,654,395584,20,33266,1.0037448584934618,0.030695561421818406,1.1827356209014959,0.016147002133519738,79.95068565134352,6.723324272158615,13.325990076497872,2.230032537295107
2020-10-02,1708,66662,496493,960,396544,21,33287,1.4559793736255402,0.031849548798058694,1.2494742183884497,0.01867895973484065,79.86900117423609,6.70442483579829,13.426573989965618,2.590429968908774
2020-10-03,1721,67401,498214,979,397523,3,33290,1.4686028021961537,0.004500315022051543,1.2969217509885513,0.018429813157146722,79.7896084814959,6.681867631178569,13.528523887325527,2.5816807176502357
2020-10-04,1228,67527,499442,1092,398615,10,33300,1.6201540036497974,0.014836575124998145,1.3507252144783009,0.018550793919111824,79.81207027042178,6.667440864004229,13.52048886557398,1.8219314253497723
2020-10-05,1154,67640,500596,1024,399639,17,33317,1.5164304648510967,0.025175115139129532,1.361115872113429,0.019042516656395645,79.83263949372348,6.655466683713014,13.511893822563504,1.7089460512091459
2020-10-06,1410,68143,502006,895,400534,12,33329,1.3231815493790657,0.017740981667652277,1.3770823559452634,0.020690594584365563,79.7866957765445,6.639163675334558,13.574140548120939,2.0845653459491427
2020-10-07,1467,68747,503473,839,401373,24,33353,1.2312343160706163,0.03522005194957663,1.3741896240379616,0.022859735589040746,79.72085891398348,6.62458562822634,13.65455545779019,2.1528256754178714
2020-10-08,1941,69981,505414,697,402070,10,33363,1.0138624230875528,0.014546089283896025,1.375634990408546,0.02055266814076612,79.55260439956155,6.601123039725849,13.846272560712604,2.823395930004218
